2924661.7783825095,0.5070590380552218,0.1789758150389953,{'Supplier', 'InternationalGoals', 'Nationality', 'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'InternationalTeam', 'Age'}
2924661.7783825095,0.5070590380552218,0.1789758150389953,{'Supplier', 'InternationalGoals', 'Nationality', 'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'InternationalTeam', 'Age'}
3191879.1033877386,0.41286701944388093,0.11578476281518602,{'Supplier', 'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'InternationalTeam', 'Age'}
3202513.9801316797,0.40894801820830484,0.01881469689365467,{'Supplier', 'Nationality', 'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'InternationalTeam', 'Age'}
3191879.1033877386,0.41286701944388093,0.11578476281518602,{'Supplier', 'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'InternationalTeam', 'Age'}
3033658.8444744237,0.46963227336698354,0.21305319617578977,{'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'InternationalTeam', 'Age'}
3033658.8444744237,0.46963227336698354,0.21305319617578977,{'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'InternationalTeam', 'Age'}
3254718.974568316,0.3895211802510459,0.23039888136911302,{'Nationality', 'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'Age'}
3254718.974568316,0.3895211802510459,0.23039888136911302,{'Nationality', 'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'Age'}
3241080.852814198,0.39462659238172604,0.1173831187478499,{'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'InternationalTeam', 'Age'}
3033658.8444744237,0.46963227336698354,0.21305319617578977,{'ClubSince', 'FormerInternational', 'ActiveInternational', 'Trending', 'NationalLeagueLevel', 'InternationalGames', 'Club', 'League', 'LeagueCountry', 'InternationalTeam', 'Age'}
